Algo,Seed,n,p,k_true,k,γ,NR,α,R2,OR2,t_algo,t_data,t_variance
primal,1997.0,10000.0,500.0,50.0,15.0,500.0,0.001,0.05,0.092,0.075,1800.765,1.489,5.69
dual,1997.0,10000.0,500.0,50.0,15.0,1000.0,0.001,0.05,-0.01,-0.019,1802.271,1.489,7.161
primal,1997.0,10000.0,500.0,50.0,15.0,1000.0,0.001,0.05,0.082,0.056,1800.556,1.489,7.161
dual,1998.0,10000.0,50.0,5.0,6.0,1.0,0.001,0.05,0.508,0.506,0.083,0.08,1.012
primal,1998.0,10000.0,50.0,5.0,6.0,1.0,0.001,0.05,0.508,0.506,0.938,0.08,1.012
dual,1998.0,10000.0,50.0,5.0,6.0,10.0,0.001,0.05,0.676,0.668,0.1,0.08,1.794
primal,1998.0,10000.0,50.0,5.0,6.0,10.0,0.001,0.05,0.676,0.668,0.159,0.08,1.794
dual,1998.0,10000.0,50.0,5.0,6.0,100.0,0.001,0.05,0.57,0.561,1800.095,0.08,2.591
primal,1998.0,10000.0,50.0,5.0,6.0,100.0,0.001,0.05,0.682,0.674,0.128,0.08,2.591
dual,1998.0,10000.0,50.0,5.0,6.0,500.0,0.001,0.05,0.546,0.541,1800.328,0.08,3.749
primal,1998.0,10000.0,50.0,5.0,6.0,500.0,0.001,0.05,0.683,0.674,0.188,0.08,3.749
dual,1998.0,10000.0,50.0,5.0,6.0,1000.0,0.001,0.05,0.569,0.562,1800.282,0.08,4.805
primal,1998.0,10000.0,50.0,5.0,6.0,1000.0,0.001,0.05,0.683,0.674,0.149,0.08,4.805
dual,1998.0,10000.0,100.0,10.0,6.0,1.0,0.001,0.05,0.265,0.268,0.593,0.107,0.998
primal,1998.0,10000.0,100.0,10.0,6.0,1.0,0.001,0.05,0.265,0.268,21.614,0.107,0.998
dual,1998.0,10000.0,100.0,10.0,6.0,10.0,0.001,0.05,0.334,0.333,1800.21,0.107,1.871
primal,1998.0,10000.0,100.0,10.0,6.0,10.0,0.001,0.05,0.348,0.34,104.528,0.107,1.871
dual,1998.0,10000.0,100.0,10.0,6.0,100.0,0.001,0.05,0.3,0.289,1800.266,0.107,3.035
primal,1998.0,10000.0,100.0,10.0,6.0,100.0,0.001,0.05,0.351,0.343,160.52,0.107,3.035
dual,1998.0,10000.0,100.0,10.0,6.0,500.0,0.001,0.05,0.322,0.304,1800.282,0.107,4.119
primal,1998.0,10000.0,100.0,10.0,6.0,500.0,0.001,0.05,0.351,0.343,540.715,0.107,4.119
dual,1998.0,10000.0,100.0,10.0,6.0,1000.0,0.001,0.05,0.339,0.329,1800.461,0.107,5.203
primal,1998.0,10000.0,100.0,10.0,6.0,1000.0,0.001,0.05,0.351,0.343,329.235,0.107,5.203
dual,1998.0,10000.0,150.0,15.0,6.0,1.0,0.001,0.05,0.165,0.167,4.885,0.479,0.87
primal,1998.0,10000.0,150.0,15.0,6.0,1.0,0.001,0.05,0.165,0.167,1800.258,0.479,0.87
dual,1998.0,10000.0,150.0,15.0,6.0,10.0,0.001,0.05,0.223,0.216,1800.055,0.479,5.371
